"filename", "language", "JavaScript", "TypeScript", "JSON", "CSS", "SCSS", "TypeScript JSX", "comment", "blank", "total"
"d:\work\programming228\web\game-tensor\src\store\currentUser\currentUserThunk.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, -1
"d:\work\programming228\web\game-tensor\src\store\deleteBookmark\deleteBookmarkSlice.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 4, 32
"d:\work\programming228\web\game-tensor\src\store\deleteBookmark\deleteBookmarkThunk.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"d:\work\programming228\web\game-tensor\src\store\editAd\editAdSelector.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 4, 15
"d:\work\programming228\web\game-tensor\src\store\editAd\editAdSlice.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 4, 33
"d:\work\programming228\web\game-tensor\src\store\editAd\editAdThunk.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 2, 20
"d:\work\programming228\web\game-tensor\src\store\getBookmark\getBookmarkSelector.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 5, 20
"d:\work\programming228\web\game-tensor\src\store\getBookmark\getBookmarkSlice.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 5, 66
"d:\work\programming228\web\game-tensor\src\store\getBookmark\getBookmarkThunk.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\work\programming228\web\game-tensor\src\store\getChats\getChatsSelector.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 5, 11
"d:\work\programming228\web\game-tensor\src\store\getChats\getChatsSlice.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 1, 6, 66
"d:\work\programming228\web\game-tensor\src\store\getChats\getChatsThunk.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\work\programming228\web\game-tensor\src\store\getMessages\getMessagesSelector.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 5, 20
"d:\work\programming228\web\game-tensor\src\store\getMessages\getMessagesSlice.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 1, 6, 76
"d:\work\programming228\web\game-tensor\src\store\getMessages\getMessagesThunk.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"d:\work\programming228\web\game-tensor\src\store\getNotifCount\getNotifCountSelector.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 5, 20
"d:\work\programming228\web\game-tensor\src\store\getNotifCount\getNotifCountSlice.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 1, 6, 48
"d:\work\programming228\web\game-tensor\src\store\getNotifCount\getNotifCountThunk.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"d:\work\programming228\web\game-tensor\src\store\getNotif\getNotifSelector.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 5, 11
"d:\work\programming228\web\game-tensor\src\store\getNotif\getNotifSlice.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 1, 6, 69
"d:\work\programming228\web\game-tensor\src\store\getNotif\getNotifThunk.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\work\programming228\web\game-tensor\src\store\getUserName\getUserNameSelector.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 5, 20
"d:\work\programming228\web\game-tensor\src\store\getUserName\getUserNameSlice.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 1, 6, 53
"d:\work\programming228\web\game-tensor\src\store\getUserName\getUserNameThunk.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"d:\work\programming228\web\game-tensor\src\store\getUsers\getUsersSelector.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 5, 11
"d:\work\programming228\web\game-tensor\src\store\getUsers\getUsersSlice.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 5, 46
"d:\work\programming228\web\game-tensor\src\store\getUsers\getUsersThunk.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"d:\work\programming228\web\game-tensor\src\store\imageId\imageThunk.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, -1
"d:\work\programming228\web\game-tensor\src\store\login\loginSelector.ts", "TypeScript", 0, -9, 0, 0, 0, 0, 0, 0, -9
"d:\work\programming228\web\game-tensor\src\store\login\loginSlice.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, -1, 7
"d:\work\programming228\web\game-tensor\src\store\login\loginThunk.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\work\programming228\web\game-tensor\src\store\onSubscribe\onSubscribeSlice.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 4, 33
"d:\work\programming228\web\game-tensor\src\store\onSubscribe\onSubscribeThunk.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"d:\work\programming228\web\game-tensor\src\store\patchStatusAd\patchStatusSelectorAd.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 2, 19
"d:\work\programming228\web\game-tensor\src\store\patchStatusAd\patchStatusSlice.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 4, 32
"d:\work\programming228\web\game-tensor\src\store\patchStatusUser\patchStatusUserSlice.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 4, 32
"d:\work\programming228\web\game-tensor\src\store\patchStatusUser\patchStatusUserThunk.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 2, 19
"d:\work\programming228\web\game-tensor\src\store\pathStatusNotif\pathStatusNotifSlice.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 4, 32
"d:\work\programming228\web\game-tensor\src\store\pathStatusNotif\pathStatusNotifThunk.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 2, 19
"d:\work\programming228\web\game-tensor\src\store\postBookmark\postBookmarkSlice.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 4, 32
"d:\work\programming228\web\game-tensor\src\store\postBookmark\postBookmarkThunk.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 2, 18
"d:\work\programming228\web\game-tensor\src\store\postTag\postTagSelector.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 5, 20
"d:\work\programming228\web\game-tensor\src\store\postTag\postTagSlice.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 4, 47
"d:\work\programming228\web\game-tensor\src\store\postTag\postTagThunk.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 2, 22
"d:\work\programming228\web\game-tensor\src\store\registration\registrationSlice.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 7
"d:\work\programming228\web\game-tensor\src\store\registration\registrationThunk.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\work\programming228\web\game-tensor\src\store\search\searchSlice.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 29
"d:\work\programming228\web\game-tensor\src\store\search\searchThunk.ts", "TypeScript", 0, -8, 0, 0, 0, 0, -1, 0, -9
"d:\work\programming228\web\game-tensor\src\store\store.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 40
"d:\work\programming228\web\game-tensor\src\store\subscribe\subscribeSlice.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 4, 33
"d:\work\programming228\web\game-tensor\src\store\subscribe\subscribeThunk.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"d:\work\programming228\web\game-tensor\src\styles\AdminApprove.module.scss", "SCSS", 0, 0, 0, 0, 25, 0, 0, 2, 27
"d:\work\programming228\web\game-tensor\src\styles\AdminBlock.module.scss", "SCSS", 0, 0, 0, 0, 34, 0, 0, 0, 34
"d:\work\programming228\web\game-tensor\src\styles\Advertisements.module.scss", "SCSS", 0, 0, 0, 0, 25, 0, 0, 2, 27
"d:\work\programming228\web\game-tensor\src\styles\Alerts.module.scss", "SCSS", 0, 0, 0, 0, 35, 0, 0, 7, 42
"d:\work\programming228\web\game-tensor\src\styles\Bookmarks.module.scss", "SCSS", 0, 0, 0, 0, 18, 0, 0, 1, 19
"d:\work\programming228\web\game-tensor\src\styles\CardAds.module.scss", "SCSS", 0, 0, 0, 0, 20, 0, 0, 0, 20
"d:\work\programming228\web\game-tensor\src\styles\Chat.module.scss", "SCSS", 0, 0, 0, 0, 189, 0, 1, 16, 206
"d:\work\programming228\web\game-tensor\src\styles\Dialog.module.scss", "SCSS", 0, 0, 0, 0, 43, 0, 0, 8, 51
"d:\work\programming228\web\game-tensor\src\styles\GameId.module.scss", "SCSS", 0, 0, 0, 0, 54, 0, 0, 1, 55
"d:\work\programming228\web\game-tensor\src\styles\Header.module.scss", "SCSS", 0, 0, 0, 0, 26, 0, 0, 1, 27
"d:\work\programming228\web\game-tensor\src\styles\Home.module.scss", "SCSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\work\programming228\web\game-tensor\src\styles\UserId.module.scss", "SCSS", 0, 0, 0, 0, 52, 0, 0, 0, 52
"d:\work\programming228\web\game-tensor\src\styles\globals.css", "CSS", 0, 0, 0, 4, 0, 0, 0, 1, 5
"Total", "-", 1, 1458, 738, 4, 522, 1812, -11, 364, 4888
