"filename", "language", "JavaScript", "JSON with Comments", "JSON", "YAML", "TypeScript JSX", "Markdown", "SCSS", "TypeScript", "XML", "CSS", "comment", "blank", "total"
"d:\work\programming228\web\game-tensor\src\store\imageId\imageIdSelector.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"d:\work\programming228\web\game-tensor\src\store\imageId\imageSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"d:\work\programming228\web\game-tensor\src\store\imageId\imageThunk.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"d:\work\programming228\web\game-tensor\src\store\search\searchSelector.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"d:\work\programming228\web\game-tensor\src\store\search\searchSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 7, 51
"d:\work\programming228\web\game-tensor\src\store\search\searchThunk.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 2, 35
"d:\work\programming228\web\game-tensor\src\store\store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 4, 34
"d:\work\programming228\web\game-tensor\src\store\tags\tagsSelector.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 4, 9
"d:\work\programming228\web\game-tensor\src\store\tags\tagsSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 7, 51
"d:\work\programming228\web\game-tensor\src\store\tags\tagsThunk.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"d:\work\programming228\web\game-tensor\src\styles\CardAds.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 33
"d:\work\programming228\web\game-tensor\src\styles\CardTag.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\work\programming228\web\game-tensor\src\styles\CreateAds.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 2, 118
"d:\work\programming228\web\game-tensor\src\styles\FollowModal.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 1, 55
"d:\work\programming228\web\game-tensor\src\styles\Footer.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 1, 61
"d:\work\programming228\web\game-tensor\src\styles\GameId.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 2, 122
"d:\work\programming228\web\game-tensor\src\styles\Header.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 7, 149
"d:\work\programming228\web\game-tensor\src\styles\Home.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 1, 66
"d:\work\programming228\web\game-tensor\src\styles\Registration.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 1, 59
"d:\work\programming228\web\game-tensor\src\styles\Rules.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"d:\work\programming228\web\game-tensor\src\styles\Settings.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"d:\work\programming228\web\game-tensor\src\styles\TagsSearch.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 42
"d:\work\programming228\web\game-tensor\src\styles\UserId.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 2, 93
"d:\work\programming228\web\game-tensor\src\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 251, 0, 13, 264
"d:\work\programming228\web\game-tensor\tsconfig.json", "JSON with Comments", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"Total", "-", 64, 22, 11202, 21, 1064, 26, 863, 576, 2, 251, 76, 210, 14377
