"filename", "language", "JavaScript", "JSON", "TypeScript", "SCSS", "CSS", "TypeScript JSX", "comment", "blank", "total"
"d:\work\programming228\web\game-tensor\src\store\registration\registrationThunk.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 2, 21
"d:\work\programming228\web\game-tensor\src\store\search\searchSlice.ts", "TypeScript", 0, 0, -1, 0, 0, 0, 0, -1, -2
"d:\work\programming228\web\game-tensor\src\store\search\searchThunk.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 1, 0, 6
"d:\work\programming228\web\game-tensor\src\store\store.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, -1, 6
"d:\work\programming228\web\game-tensor\src\store\tags\tagsSlice.ts", "TypeScript", 0, 0, -1, 0, 0, 0, 0, -1, -2
"d:\work\programming228\web\game-tensor\src\store\tags\tagsThunk.ts", "TypeScript", 0, 0, -5, 0, 0, 0, 0, 0, -5
"d:\work\programming228\web\game-tensor\src\styles\AdminApprove.module.scss", "SCSS", 0, 0, 0, 90, 0, 0, 0, 2, 92
"d:\work\programming228\web\game-tensor\src\styles\AdminBlock.module.scss", "SCSS", 0, 0, 0, 74, 0, 0, 0, 1, 75
"d:\work\programming228\web\game-tensor\src\styles\Advertisements.module.scss", "SCSS", 0, 0, 0, 63, 0, 0, 0, 2, 65
"d:\work\programming228\web\game-tensor\src\styles\CreateAds.module.scss", "SCSS", 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\work\programming228\web\game-tensor\src\styles\CreateTag.module.scss", "SCSS", 0, 0, 0, 41, 0, 0, 0, 1, 42
"d:\work\programming228\web\game-tensor\src\styles\FollowModal.module.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\work\programming228\web\game-tensor\src\styles\GameId.module.scss", "SCSS", 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\work\programming228\web\game-tensor\src\styles\Header.module.scss", "SCSS", 0, 0, 0, 35, 0, 0, 0, 1, 36
"d:\work\programming228\web\game-tensor\src\styles\Sidebar.module.scss", "SCSS", 0, 0, 0, 147, 0, 0, 0, 4, 151
"d:\work\programming228\web\game-tensor\src\styles\TagsSearch.module.scss", "SCSS", 0, 0, 0, 35, 0, 0, 0, 0, 35
"d:\work\programming228\web\game-tensor\src\styles\UserId.module.scss", "SCSS", 0, 0, 0, 20, 0, 0, 0, 1, 21
"d:\work\programming228\web\game-tensor\src\styles\globals.css", "CSS", 0, 0, 0, 0, 5, 0, 0, 1, 6
"Total", "-", 2, 860, 369, 515, 5, 540, 159, 104, 2554
