"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "YAML", "SCSS", "CSS", "TypeScript JSX", "Markdown", "XML", "comment", "blank", "total"
"d:\work\programming228\web\game-tensor\src\pages\rules.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 3, 39
"d:\work\programming228\web\game-tensor\src\pages\user\[userId].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 4, 95
"d:\work\programming228\web\game-tensor\src\pages\user\settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"d:\work\programming228\web\game-tensor\src\store\ads\adsSelector.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 5, 11
"d:\work\programming228\web\game-tensor\src\store\ads\adsSlice.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 6, 49
"d:\work\programming228\web\game-tensor\src\store\ads\adsThunk.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 14, 2, 44
"d:\work\programming228\web\game-tensor\src\store\currentUser\currentUserSelector.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\work\programming228\web\game-tensor\src\store\currentUser\currentUserSlice.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 1, 6, 53
"d:\work\programming228\web\game-tensor\src\store\currentUser\currentUserThunk.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\work\programming228\web\game-tensor\src\store\id\idSelector.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\work\programming228\web\game-tensor\src\store\id\idSlice.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 6, 49
"d:\work\programming228\web\game-tensor\src\store\id\idThunk.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\work\programming228\web\game-tensor\src\store\imageId\imageIdSelector.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\work\programming228\web\game-tensor\src\store\imageId\imageSlice.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\work\programming228\web\game-tensor\src\store\imageId\imageThunk.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"d:\work\programming228\web\game-tensor\src\store\login\loginSelector.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\work\programming228\web\game-tensor\src\store\login\loginSlice.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 5, 41
